Name,Country,Height (cm),Weight (kg),Gender,Competition Time (s),Event Date,Competition,Position,Current Age,Competition Years,Best Time (s),IMC,Training Hours/Week,Last Injury,Entrenador,Historial de competencias,Nivel de Competencia,Categoria IMC
Tom Shields,Hungary,191.15,86.05,1,53.65,18/08/2009,World Championships,6,35,6,34,23.55062,32,Sin lesiones,Entrenador B,20 competencias,Olimpico,Normal
Louise Hansson,Hungary,188.93,85.62,1,50.29,24/04/2009,European Championships,7,39,7,28,23.98686,25,Sin lesiones,Entrenador D,10 competencias,Olimpico,Normal
Emma McKeon,Singapore,188.75,86.73,1,52.5,19/07/2008,Pan Pacific Championships,4,22,8,36,24.3442,18,Sin lesiones,Entrenador D,20 competencias,Olimpico,Normal
Dana Vollmer,China,177.38,60.11,0,54.92,20/05/2000,Swim USA,7,25,9,32,19.10458,32,10/02/2023,Entrenador A,10 competencias,Olimpico,Normal
Dana Vollmer,South Africa,181.95,71.86,1,52.11,01/06/2014,Swim USA,4,23,10,30,21.70616,15,25/05/2019,Entrenador D,20 competencias,Olimpico,Normal
Dana Vollmer,South Africa,174.2,79.96,0,52.62,02/10/2014,Swim USA,4,27,12,50,26.34975,15,Sin lesiones,Entrenador A,15 competencias,Olimpico,Sobrepeso
Andrei Minakov,Hungary,186.05,61.38,0,56.57,24/02/2022,World Championships,2,20,14,39,17.7324,20,Sin lesiones,Entrenador C,20 competencias,Olimpico,Bajo peso
Tom Shields,Singapore,188.1,69.33,1,51.58,26/11/2019,Pan Pacific Championships,2,31,6,40,19.59493,22,01/11/2020,Entrenador D,25 competencias,Olimpico,Normal
Maggie MacNeil,Australia,174.56,68.15,0,50.77,16/08/2004,Pan Pacific Championships,1,18,7,35,22.36539,27,Sin lesiones,Entrenador C,25 competencias,Olimpico,Normal
Zhang Yufei,France,187.29,68.3,1,55.38,15/02/2018,European Championships,6,28,10,45,19.47115,15,10/02/2023,Entrenador B,10 competencias,Olimpico,Normal
Tom Shields,USA,179.76,77.65,1,58.77,18/05/2020,Swim USA,6,29,9,33,24.03009,32,Sin lesiones,Entrenador C,15 competencias,Olimpico,Normal
Beryl Gastaldello,Australia,201.14,88.84,0,55.51,19/12/2020,Pan Pacific Championships,2,31,5,34,21.95895,25,15/01/2021,Entrenador B,5 competencias,Olimpico,Normal
Beryl Gastaldello,Hungary,177.61,84.17,1,51.06,27/07/2009,European Championships,3,29,6,28,26.68225,18,Sin lesiones,Entrenador A,20 competencias,Olimpico,Sobrepeso
Emma McKeon,Sweden,176.97,77.98,1,55.31,02/09/2007,Olympic Games,8,38,7,36,24.89912,32,01/11/2020,Entrenador D,15 competencias,Olimpico,Normal
Caeleb Dressel,Singapore,187.95,74.6,0,51.56,12/08/2018,European Championships,1,36,8,32,21.11807,15,Sin lesiones,Entrenador D,20 competencias,Olimpico,Normal
Tom Shields,USA,167.88,70.02,0,53.3,02/05/2007,Pan Pacific Championships,2,30,9,30,24.84415,15,01/11/2020,Entrenador B,25 competencias,Olimpico,Normal
Tom Shields,China,176.66,55.95,0,50.36,21/08/2017,Pan Pacific Championships,7,25,10,50,17.92766,20,Sin lesiones,Entrenador B,5 competencias,Olimpico,Bajo peso
Louise Hansson,France,163.34,76.59,1,52.75,22/06/2002,European Championships,1,24,12,39,28.70694,22,Sin lesiones,Entrenador B,25 competencias,Olimpico,Sobrepeso
Kristof Milak,Sweden,186.1,63.32,0,48.81,20/01/2018,Pan Pacific Championships,4,26,14,40,18.28303,27,15/01/2021,Entrenador D,10 competencias,Olimpico,Bajo peso
Marie Wattel,Singapore,171.31,88.12,1,55.39,22/09/2000,Swim USA,1,35,6,35,30.0268,32,Sin lesiones,Entrenador A,25 competencias,Olimpico,Obesidad
Andrei Minakov,France,168.55,63.31,1,52.29,16/07/2020,Olympic Games,3,39,7,45,22.28511,25,01/11/2020,Entrenador A,25 competencias,Olimpico,Normal
Maggie MacNeil,Australia,184.42,82.23,0,51.05,20/07/2001,Swim USA,8,22,10,33,24.17766,18,01/11/2020,Entrenador C,15 competencias,Olimpico,Normal
Dana Vollmer,Hungary,175.33,73.82,0,53.92,03/01/2006,Swim USA,4,25,9,34,24.01384,32,10/02/2023,Entrenador C,20 competencias,Olimpico,Normal
Noe Ponti,Australia,170.08,87.57,1,53.6,12/02/2023,World Championships,3,23,5,28,30.27254,15,15/01/2021,Entrenador A,25 competencias,Olimpico,Obesidad
Louise Hansson,China,177.68,83.33,0,51.54,13/01/2023,Swim USA,6,27,6,36,26.39516,15,01/11/2020,Entrenador B,10 competencias,Olimpico,Sobrepeso
Emma McKeon,France,186.91,81.54,1,56.19,28/11/2003,European Championships,6,20,7,32,23.34026,20,Sin lesiones,Entrenador C,10 competencias,Olimpico,Normal
Andrei Minakov,Australia,186.59,54.24,0,52.12,25/02/2009,European Championships,4,31,8,30,15.57912,22,25/05/2019,Entrenador A,20 competencias,Olimpico,Bajo peso
Michael Phelps,Sweden,186.96,71.48,0,57.83,20/07/2004,European Championships,5,18,9,50,20.44971,27,01/11/2020,Entrenador A,5 competencias,Olimpico,Normal
Andrei Minakov,France,195.36,79.75,1,53.53,08/04/2009,European Championships,5,28,10,39,20.89582,32,Sin lesiones,Entrenador B,20 competencias,Olimpico,Normal
Caeleb Dressel,China,200.36,63.42,0,54.26,18/05/2021,World Championships,6,29,12,40,15.79808,25,10/02/2023,Entrenador D,5 competencias,Olimpico,Bajo peso
Louise Hansson,France,191,81.87,1,51.98,21/06/2009,European Championships,3,31,14,35,22.44182,18,15/01/2021,Entrenador A,25 competencias,Olimpico,Normal
Michael Phelps,China,178.44,89.64,1,55.67,04/01/2014,European Championships,4,29,6,45,28.15253,32,Sin lesiones,Entrenador B,25 competencias,Olimpico,Sobrepeso
Andrei Minakov,USA,180.08,65.05,0,50.56,09/06/2015,Pan Pacific Championships,5,38,7,33,20.05933,15,Sin lesiones,Entrenador D,25 competencias,Olimpico,Normal
Marie Wattel,China,171.38,72.5,0,53.53,24/04/2002,World Championships,5,36,10,34,24.68412,15,25/05/2019,Entrenador D,15 competencias,Olimpico,Normal
Michael Phelps,USA,180.11,76.08,0,53.71,21/12/2012,Pan Pacific Championships,7,37,9,28,23.45281,20,Sin lesiones,Entrenador A,10 competencias,Olimpico,Normal
Maggie MacNeil,Sweden,179.48,81.47,0,58,01/08/2012,Swim USA,8,28,5,36,25.29098,22,Sin lesiones,Entrenador B,20 competencias,Olimpico,Sobrepeso
Noe Ponti,USA,176.82,64.82,1,59.64,23/05/2016,Pan Pacific Championships,7,26,6,32,20.73224,27,Sin lesiones,Entrenador C,10 competencias,Olimpico,Normal
Caeleb Dressel,USA,174.22,74.78,1,55.13,13/11/2023,Pan Pacific Championships,2,22,7,30,24.63709,15,20/06/2022,Entrenador D,20 competencias,Olimpico,Normal
Caeleb Dressel,France,175.61,90.84,0,55.88,22/08/2008,Olympic Games,8,31,8,50,29.45633,15,10/02/2023,Entrenador C,15 competencias,Olimpico,Sobrepeso
Nadador_profesional_456,USA,188.92,81.74,0,66.94,27/03/2023,State Meet,1,20,3,65.95,22.9,20,15/01/2021,Entrenador B,25 competencias,Profesional,Normal
Nadador_profesional_544,USA,183.94,60.06,0,65.27,04/02/2024,National Championships,2,24,9,64.06,17.75,19,Sin lesiones,Entrenador B,20 competencias,Profesional,Bajo peso
Nadador_profesional_977,China,186.12,77.28,0,63.05,16/03/2023,Regional Meet,1,23,2,61.9,22.31,18,25/05/2019,Entrenador B,25 competencias,Profesional,Normal
Nadador_profesional_998,Russia,193.14,60.04,0,62.3,03/03/2023,Local Meet,1,22,2,61.77,16.1,13,25/05/2019,Entrenador C,25 competencias,Profesional,Bajo peso
Nadador_profesional_531,Japan,183.76,86.06,0,58.67,16/03/2024,State Meet,7,20,5,57.1,25.49,16,15/01/2021,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_814,Japan,185.64,97.71,0,57.75,28/12/2023,State Meet,6,23,7,56.36,28.35,20,15/01/2021,Entrenador D,5 competencias,Profesional,Sobrepeso
Nadador_profesional_294,China,181,68.79,0,66.06,22/01/2023,National Championships,2,18,2,64.18,21,11,20/06/2022,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_940,Japan,180.01,70.83,0,66.68,23/12/2022,Local Meet,5,20,2,65.34,21.86,20,01/11/2020,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_715,China,192.69,61.17,0,66.87,17/10/2024,National Championships,3,24,8,66.79,16.47,13,10/02/2023,Entrenador A,20 competencias,Profesional,Bajo peso
Nadador_profesional_21,USA,186.36,86.56,0,68.08,21/02/2023,State Meet,10,23,6,66.88,24.92,14,01/11/2020,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_385,Brazil,192.27,98.96,0,58.17,24/03/2023,Regional Meet,2,21,3,56.79,26.77,15,25/05/2019,Entrenador D,20 competencias,Profesional,Sobrepeso
Nadador_profesional_885,USA,193.96,97.34,0,61.21,14/06/2023,State Meet,6,24,1,60.62,25.87,11,01/11/2020,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_328,Brazil,182.14,95.65,0,57.95,25/12/2023,Regional Meet,4,23,3,57.7,28.83,14,15/01/2021,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_452,Japan,194.61,86.79,0,63.91,15/10/2023,Regional Meet,5,21,6,63.55,22.92,10,20/06/2022,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_472,Japan,192.75,68.06,0,57.81,08/12/2023,National Championships,10,23,8,55.83,18.32,17,Sin lesiones,Entrenador A,5 competencias,Profesional,Bajo peso
Nadador_profesional_892,Russia,188.18,96.55,0,67.36,24/02/2023,Local Meet,10,21,1,65.4,27.26,13,20/06/2022,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_186,Australia,183.38,80.47,0,56.96,03/07/2024,State Meet,2,20,3,56.62,23.93,20,20/06/2022,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_508,Australia,186.95,79.05,0,63.26,03/08/2024,National Championships,3,20,2,62,22.62,19,15/01/2021,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_513,Russia,192.97,93.71,0,65.99,15/10/2024,State Meet,10,22,4,64.66,25.17,18,15/01/2021,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_850,Brazil,183.78,85.06,0,57.23,08/12/2022,State Meet,6,21,2,56.31,25.18,14,25/05/2019,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_611,Japan,187.93,60.11,0,58.76,09/01/2023,Local Meet,6,18,3,56.97,17.02,13,10/02/2023,Entrenador A,15 competencias,Profesional,Bajo peso
Nadador_profesional_74,Australia,193.71,83.72,0,61.61,15/03/2023,National Championships,3,18,2,60.59,22.31,13,Sin lesiones,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_783,USA,185.12,88.56,0,59.48,25/10/2023,Local Meet,4,22,3,59.08,25.84,19,25/05/2019,Entrenador D,15 competencias,Profesional,Sobrepeso
Nadador_profesional_902,Japan,186.65,63.33,0,61.91,16/07/2023,State Meet,2,20,1,61.26,18.18,17,15/01/2021,Entrenador C,25 competencias,Profesional,Bajo peso
Nadador_profesional_149,USA,182.5,69.26,0,67.85,03/03/2023,Regional Meet,3,22,7,66.48,20.79,15,Sin lesiones,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_173,Russia,190.93,86.17,0,64.78,29/03/2023,State Meet,8,20,1,63.81,23.64,12,10/02/2023,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_668,Russia,187.26,75.9,0,57.55,20/02/2023,State Meet,8,20,5,56.26,21.64,20,10/02/2023,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_303,USA,194.26,79.47,0,57.57,22/03/2024,Regional Meet,5,23,5,56,21.06,20,15/01/2021,Entrenador B,5 competencias,Profesional,Normal
Nadador_profesional_961,Australia,188.65,60.65,0,65.19,30/05/2024,National Championships,8,19,1,64.17,17.04,18,20/06/2022,Entrenador C,5 competencias,Profesional,Bajo peso
Nadador_profesional_921,Japan,185.63,98.01,0,57.11,12/04/2024,National Championships,7,23,4,55.55,28.44,19,01/11/2020,Entrenador A,15 competencias,Profesional,Sobrepeso
Nadador_profesional_333,Australia,193.91,77.37,0,64.44,13/04/2023,National Championships,3,21,1,62.77,20.58,10,Sin lesiones,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_646,Brazil,193.64,88.38,0,64.74,02/11/2023,Regional Meet,4,21,3,63.84,23.57,14,01/11/2020,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_106,USA,194,92.08,0,66.68,19/08/2024,Regional Meet,1,24,9,66.06,24.47,12,01/11/2020,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_584,China,186.91,74.15,0,59.61,02/12/2023,Local Meet,7,18,2,58.13,21.22,11,01/11/2020,Entrenador D,20 competencias,Profesional,Normal
Nadador_profesional_891,Japan,183.56,74.89,0,57,14/10/2024,National Championships,2,19,2,56.05,22.23,13,01/11/2020,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_512,Russia,188.78,87.72,0,58.35,09/07/2024,Regional Meet,3,22,2,56.98,24.61,20,01/11/2020,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_352,Australia,191.45,67.23,0,60.45,11/03/2023,Local Meet,5,24,6,58.65,18.34,20,01/11/2020,Entrenador D,20 competencias,Profesional,Bajo peso
Nadador_profesional_577,Japan,183.33,76.64,0,67.59,25/02/2024,State Meet,8,24,8,67.03,22.8,12,20/06/2022,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_652,China,184.81,97.18,0,57.15,12/01/2023,Local Meet,6,21,4,55.45,28.45,14,01/11/2020,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_666,Australia,190.82,96.95,0,56.75,22/04/2023,Regional Meet,5,21,2,55.18,26.63,18,Sin lesiones,Entrenador B,10 competencias,Profesional,Sobrepeso
Nadador_profesional_359,Australia,180.31,63.99,0,63.68,16/02/2024,Regional Meet,7,20,3,62.5,19.68,18,15/01/2021,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_346,Australia,194.32,62.93,0,66.51,04/12/2023,National Championships,3,22,7,65.2,16.67,16,25/05/2019,Entrenador A,15 competencias,Profesional,Bajo peso
Nadador_profesional_599,Australia,186.92,89.28,0,63.88,05/01/2023,Regional Meet,8,22,4,63.63,25.55,12,20/06/2022,Entrenador C,25 competencias,Profesional,Sobrepeso
Nadador_profesional_586,China,194.43,71.25,0,57.84,26/04/2023,Local Meet,3,19,2,57.21,18.85,10,Sin lesiones,Entrenador D,20 competencias,Profesional,Normal
Nadador_profesional_775,USA,192.02,93.4,0,64.91,09/01/2023,Regional Meet,4,19,3,63.38,25.33,10,10/02/2023,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_394,Australia,180.73,73.28,0,63.7,22/06/2024,State Meet,6,24,5,62.61,22.43,15,15/01/2021,Entrenador D,20 competencias,Profesional,Normal
Nadador_profesional_395,Australia,184.49,69.79,0,60.8,19/07/2024,State Meet,5,20,4,59.42,20.5,14,25/05/2019,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_701,Japan,180.5,72.37,0,63.39,02/02/2023,Local Meet,2,19,1,62.26,22.21,15,10/02/2023,Entrenador A,15 competencias,Profesional,Normal
Nadador_profesional_992,Russia,187.1,77.2,0,62.73,19/02/2024,Local Meet,6,24,5,61.11,22.05,13,20/06/2022,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_572,Australia,183.17,78.51,0,57.21,13/07/2023,National Championships,7,18,2,56.06,23.4,20,25/05/2019,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_12,China,184.16,71.28,0,62.31,04/01/2024,Local Meet,9,30,12,62.2,21.02,16,20/06/2022,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_21,China,192.32,71.12,0,62.74,31/07/2023,Regional Meet,1,31,9,61.48,19.23,11,15/01/2021,Entrenador C,20 competencias,Profesional,Normal
Nadador_profesional_692,China,192.58,80.59,0,63.55,26/11/2022,National Championships,7,32,11,61.87,21.73,10,20/06/2022,Entrenador C,20 competencias,Profesional,Normal
Nadador_profesional_79,Australia,194.29,87.38,0,57.68,05/06/2023,Local Meet,2,35,6,55.76,23.15,10,20/06/2022,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_7,USA,183.43,64.33,0,60.15,11/05/2024,State Meet,8,32,2,58.75,19.12,10,25/05/2019,Entrenador A,10 competencias,Profesional,Normal
Nadador_profesional_630,Australia,185.81,65.14,0,62,27/04/2024,National Championships,1,27,2,61.31,18.87,15,Sin lesiones,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_205,Japan,190.43,94.21,0,57.27,26/11/2023,State Meet,9,28,11,57.06,25.98,16,10/02/2023,Entrenador B,5 competencias,Profesional,Sobrepeso
Nadador_profesional_545,Russia,190.93,86.41,0,57.29,06/08/2023,Local Meet,10,33,15,55.58,23.7,16,10/02/2023,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_702,Brazil,184.93,61.63,0,64.84,06/12/2023,Regional Meet,10,28,6,63.48,18.02,12,01/11/2020,Entrenador B,5 competencias,Profesional,Bajo peso
Nadador_profesional_111,Australia,183.59,87.57,0,65.46,30/04/2023,National Championships,7,30,5,63.9,25.98,19,20/06/2022,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_836,Brazil,191.83,82.1,0,66.04,28/08/2023,State Meet,3,28,8,65.76,22.31,10,25/05/2019,Entrenador B,20 competencias,Profesional,Normal
Nadador_profesional_68,Brazil,181.49,98.71,0,66.54,03/03/2023,Regional Meet,8,27,8,64.62,29.97,12,Sin lesiones,Entrenador B,20 competencias,Profesional,Sobrepeso
Nadador_profesional_759,Japan,189.34,75.27,0,62.61,19/03/2024,National Championships,8,32,12,60.93,21,16,01/11/2020,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_299,Japan,184.63,87.91,0,62.06,30/09/2024,State Meet,9,34,5,60.82,25.79,19,25/05/2019,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_989,China,188.32,60.85,0,57.97,15/12/2022,National Championships,9,28,1,57.26,17.16,15,25/05/2019,Entrenador A,10 competencias,Profesional,Bajo peso
Nadador_profesional_846,China,181.87,60.96,0,62.03,20/06/2024,Regional Meet,10,29,12,61.97,18.43,12,15/01/2021,Entrenador A,25 competencias,Profesional,Bajo peso
Nadador_profesional_248,Russia,183.65,76.81,0,56.46,01/06/2023,Regional Meet,7,35,1,55.73,22.77,16,01/11/2020,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_382,Japan,190.83,73.32,0,64.59,17/10/2024,National Championships,7,25,3,64.22,20.13,10,15/01/2021,Entrenador B,20 competencias,Profesional,Normal
Nadador_profesional_830,Japan,181.98,94.25,0,57.29,18/01/2024,National Championships,4,28,8,57.05,28.46,15,20/06/2022,Entrenador B,15 competencias,Profesional,Sobrepeso
Nadador_profesional_255,China,190.91,73.82,0,65.64,15/01/2023,State Meet,9,32,13,64.1,20.25,15,15/01/2021,Entrenador C,15 competencias,Profesional,Normal
Nadador_profesional_825,Japan,191.67,63.4,0,58.6,11/11/2023,Local Meet,1,30,14,57.16,17.26,13,20/06/2022,Entrenador A,5 competencias,Profesional,Bajo peso
Nadador_profesional_686,Brazil,184.4,99.32,0,63.8,20/10/2023,Local Meet,6,30,11,63.21,29.21,15,10/02/2023,Entrenador A,5 competencias,Profesional,Sobrepeso
Nadador_profesional_141,Russia,187.63,82.62,0,56.8,04/05/2023,National Championships,3,27,5,55.69,23.47,11,25/05/2019,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_311,Brazil,189.39,87.68,0,63.18,09/01/2023,National Championships,4,32,1,62.31,24.44,10,Sin lesiones,Entrenador A,20 competencias,Profesional,Normal
Nadador_profesional_15,USA,190.44,64.77,0,65.22,22/04/2024,National Championships,1,31,12,63.79,17.86,20,Sin lesiones,Entrenador D,10 competencias,Profesional,Bajo peso
Nadador_profesional_751,Japan,182.3,71.65,0,61.54,09/03/2023,Regional Meet,10,34,13,61.34,21.56,11,10/02/2023,Entrenador D,10 competencias,Profesional,Normal
Nadador_profesional_226,Brazil,186.51,66.2,0,60.9,21/08/2024,National Championships,6,30,1,60.72,19.03,10,15/01/2021,Entrenador B,15 competencias,Profesional,Normal
Nadador_profesional_648,Australia,184.67,83.8,0,63.57,03/08/2023,State Meet,4,29,3,63.04,24.57,12,20/06/2022,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_820,China,183.88,72.47,0,57.97,18/07/2023,National Championships,4,29,5,56.02,21.43,14,01/11/2020,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_978,Australia,180.7,86.3,0,63.69,11/05/2024,National Championships,3,32,16,61.75,26.43,10,01/11/2020,Entrenador B,25 competencias,Profesional,Sobrepeso
Nadador_profesional_361,Brazil,180.73,73.3,0,61.79,25/11/2023,State Meet,1,34,4,61.41,22.44,10,20/06/2022,Entrenador B,5 competencias,Profesional,Normal
Nadador_profesional_582,China,185.8,85.38,0,62.81,17/02/2024,Local Meet,7,25,3,61.78,24.73,13,01/11/2020,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_981,Australia,192.93,92.51,0,59.93,01/03/2023,Local Meet,3,25,7,58.32,24.85,10,Sin lesiones,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_782,Brazil,185.92,68.71,0,57.7,17/08/2024,Regional Meet,8,26,11,56.05,19.88,12,15/01/2021,Entrenador B,5 competencias,Profesional,Normal
Nadador_profesional_103,USA,193.31,88.48,0,58.98,25/12/2022,National Championships,8,28,6,58.41,23.68,16,25/05/2019,Entrenador A,15 competencias,Profesional,Normal
Nadador_profesional_564,Brazil,187.72,97.39,0,61.95,06/09/2024,Local Meet,8,34,10,60.31,27.64,15,20/06/2022,Entrenador A,25 competencias,Profesional,Sobrepeso
Nadador_profesional_690,Japan,188.73,74.72,0,58.58,11/09/2023,State Meet,8,35,8,57.79,20.98,11,20/06/2022,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_982,China,184.58,83.53,0,65.7,23/09/2024,Local Meet,5,31,15,65.28,24.52,15,01/11/2020,Entrenador D,5 competencias,Profesional,Normal
Nadador_profesional_760,Australia,188.61,83.69,0,63.69,28/05/2023,State Meet,10,26,3,63.68,23.53,11,Sin lesiones,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_928,USA,182.36,68.1,0,56.16,05/05/2024,National Championships,8,31,10,55.18,20.48,12,Sin lesiones,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_301,Russia,188.25,92.73,0,65.96,01/03/2024,Local Meet,4,25,8,64.5,26.17,11,10/02/2023,Entrenador D,5 competencias,Profesional,Sobrepeso
Nadador_profesional_571,China,190.14,93.93,0,62.87,04/03/2023,National Championships,5,28,5,61.97,25.98,17,10/02/2023,Entrenador C,5 competencias,Profesional,Sobrepeso
Nadador_profesional_913,Russia,193.04,95.2,0,61.82,20/11/2023,National Championships,10,29,1,60.71,25.55,13,20/06/2022,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_746,Russia,182.91,71.23,0,61.49,25/11/2022,Local Meet,5,28,11,60.48,21.29,12,20/06/2022,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_949,Japan,183.33,94.9,0,62.31,24/01/2023,Local Meet,8,25,3,61.2,28.24,14,20/06/2022,Entrenador B,20 competencias,Profesional,Sobrepeso
Nadador_profesional_33,Australia,192.63,85.43,0,59.46,28/03/2024,National Championships,3,30,3,58.98,23.02,20,20/06/2022,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_657,China,186.47,80.29,0,56.3,11/11/2023,Local Meet,7,25,7,55.95,23.09,12,Sin lesiones,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_110,Russia,185,73.77,0,56.86,14/05/2023,National Championships,10,34,15,56.44,21.55,19,20/06/2022,Entrenador A,15 competencias,Profesional,Normal
Nadador_profesional_324,Japan,182.55,72,0,65.67,25/11/2022,Local Meet,4,29,8,64.36,21.61,18,15/01/2021,Entrenador C,5 competencias,Profesional,Normal
Nadador_profesional_463,Australia,185.03,74.55,0,65.31,18/08/2023,Local Meet,7,29,1,65.04,21.78,16,Sin lesiones,Entrenador A,25 competencias,Profesional,Normal
Nadador_profesional_53,Japan,189.13,87.64,0,63.41,14/09/2024,National Championships,1,38,8,62.2,24.5,17,25/05/2019,Entrenador C,15 competencias,Profesional,Normal
Nadador_profesional_219,China,191.28,77.29,0,64.85,01/04/2024,Local Meet,10,39,20,63.02,21.12,15,20/06/2022,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_915,Australia,188.91,72.86,0,60.9,14/03/2023,National Championships,8,38,8,60,20.42,18,15/01/2021,Entrenador B,10 competencias,Profesional,Normal
Nadador_profesional_911,Japan,192.53,64.65,0,63.59,23/09/2023,State Meet,5,39,20,63.55,17.44,15,10/02/2023,Entrenador B,15 competencias,Profesional,Bajo peso
Nadador_profesional_336,China,184.81,86.58,0,61.48,20/09/2024,State Meet,8,38,23,61.19,25.35,12,Sin lesiones,Entrenador C,10 competencias,Profesional,Sobrepeso
Nadador_profesional_754,Russia,185.43,97.21,0,60.73,24/08/2023,Local Meet,1,36,12,60.26,28.27,17,10/02/2023,Entrenador C,20 competencias,Profesional,Sobrepeso
Nadador_profesional_758,Brazil,186.96,81.51,0,63.23,07/01/2023,State Meet,9,36,8,62.49,23.32,11,20/06/2022,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_682,Australia,186.93,62.58,0,60.86,27/06/2023,State Meet,7,38,5,59.81,17.91,13,Sin lesiones,Entrenador C,10 competencias,Profesional,Bajo peso
Nadador_profesional_872,Australia,188.51,88.64,0,60.51,20/10/2024,National Championships,3,37,14,59.84,24.94,17,15/01/2021,Entrenador D,25 competencias,Profesional,Normal
Nadador_profesional_390,Russia,189.62,93.42,0,61.84,14/11/2023,State Meet,3,39,9,61.09,25.98,12,15/01/2021,Entrenador D,25 competencias,Profesional,Sobrepeso
Nadador_profesional_532,USA,181.85,80.99,0,63.57,07/04/2024,Regional Meet,10,37,2,62.4,24.49,18,10/02/2023,Entrenador D,20 competencias,Profesional,Normal
Nadador_profesional_329,Russia,182.02,87.84,0,60.17,01/06/2024,National Championships,8,40,1,58.34,26.51,13,Sin lesiones,Entrenador D,25 competencias,Profesional,Sobrepeso
Nadador_profesional_772,China,187.45,82.37,0,64.59,09/09/2024,National Championships,1,38,21,63.57,23.44,20,Sin lesiones,Entrenador A,5 competencias,Profesional,Normal
Nadador_profesional_36,Russia,193.96,82.37,0,57.5,25/01/2024,Regional Meet,7,37,21,55.89,21.89,17,20/06/2022,Entrenador D,10 competencias,Profesional,Normal
Nadador_profesional_732,Australia,190.01,82.14,0,60.92,26/12/2023,State Meet,3,37,19,59.51,22.75,16,Sin lesiones,Entrenador D,15 competencias,Profesional,Normal
Nadador_profesional_480,USA,190.6,95.4,0,56.66,27/09/2023,Regional Meet,9,38,6,55.82,26.26,14,Sin lesiones,Entrenador A,20 competencias,Profesional,Sobrepeso
Nadador_profesional_857,Russia,183.71,79.6,0,62.51,04/06/2023,State Meet,10,38,19,61.56,23.59,11,10/02/2023,Entrenador C,25 competencias,Profesional,Normal
Nadador_profesional_518,Australia,183.39,74.15,0,63.67,07/10/2024,Regional Meet,7,36,8,61.82,22.05,18,10/02/2023,Entrenador C,10 competencias,Profesional,Normal
Nadador_profesional_399,Russia,190.8,60,0,61.78,26/10/2023,National Championships,5,36,16,60.13,16.48,17,01/11/2020,Entrenador C,20 competencias,Profesional,Bajo peso
